"Model","Result","HttpCode","Detail"
"nvidia.nemotron-nano-12b-v2","THROTTLED","429",""
"qwen.qwen3-coder-next","THROTTLED","429",""
"anthropic.claude-sonnet-4-20250514-v1:0","BAD_PAYLOAD","400",""
"anthropic.claude-haiku-4-5-20251001-v1:0","BAD_PAYLOAD","400",""
"moonshotai.kimi-k2.5","THROTTLED","429",""
"openai.gpt-oss-120b-1:0","THROTTLED","429",""
"stability.stable-creative-upscale-v1:0","BAD_PAYLOAD","400",""
"qwen.qwen3-next-80b-a3b","THROTTLED","429",""
"deepseek.v3.2","THROTTLED","429",""
"amazon.nova-2-multimodal-embeddings-v1:0","THROTTLED","429",""
"nvidia.nemotron-nano-3-30b","THROTTLED","429",""
"anthropic.claude-sonnet-4-6","BAD_PAYLOAD","400",""
"minimax.minimax-m2","THROTTLED","429",""
"zai.glm-4.7-flash","THROTTLED","429",""
"mistral.voxtral-mini-3b-2507","THROTTLED","429",""
"amazon.nova-pro-v1:0","THROTTLED","429",""
"amazon.nova-pro-v1:0:24k","BAD_PAYLOAD","400",""
"amazon.nova-pro-v1:0:300k","BAD_PAYLOAD","400",""
"stability.stable-image-remove-background-v1:0","BAD_PAYLOAD","400",""
"stability.stable-image-control-sketch-v1:0","BAD_PAYLOAD","400",""
"amazon.nova-2-lite-v1:0","BAD_PAYLOAD","400",""
"amazon.nova-2-lite-v1:0:256k","BAD_PAYLOAD","400",""
"stability.stable-conservative-upscale-v1:0","BAD_PAYLOAD","400",""
"minimax.minimax-m2.5","THROTTLED","429",""
"google.gemma-3-12b-it","THROTTLED","429",""
"stability.stable-image-search-recolor-v1:0","BAD_PAYLOAD","400",""
"moonshot.kimi-k2-thinking","THROTTLED","429",""
"mistral.mistral-large-3-675b-instruct","THROTTLED","429",""
"twelvelabs.pegasus-1-2-v1:0","ACCESS_DENIED","403",""
"amazon.nova-2-sonic-v1:0","BAD_PAYLOAD","400",""
"mistral.devstral-2-123b","THROTTLED","429",""
"minimax.minimax-m2.1","THROTTLED","429",""
"nvidia.nemotron-super-3-120b","THROTTLED","429",""
"qwen.qwen3-32b-v1:0","THROTTLED","429",""
"mistral.ministral-3-14b-instruct","THROTTLED","429",""
"anthropic.claude-opus-4-6-v1","BAD_PAYLOAD","400",""
"writer.palmyra-x5-v1:0","BAD_PAYLOAD","400",""
"nvidia.nemotron-nano-9b-v2","THROTTLED","429",""
"mistral.ministral-3-8b-instruct","THROTTLED","429",""
"mistral.voxtral-small-24b-2507","THROTTLED","429",""
"zai.glm-5","THROTTLED","429",""
"openai.gpt-oss-20b-1:0","THROTTLED","429",""
"google.gemma-3-4b-it","THROTTLED","429",""
"stability.stable-fast-upscale-v1:0","BAD_PAYLOAD","400",""
"anthropic.claude-opus-4-8","ACCESS_DENIED","403",""
"anthropic.claude-opus-4-7","ACCESS_DENIED","403",""
"stability.stable-image-erase-object-v1:0","BAD_PAYLOAD","400",""
"openai.gpt-oss-safeguard-120b","THROTTLED","429",""
"google.gemma-3-27b-it","THROTTLED","429",""
"stability.stable-image-control-structure-v1:0","BAD_PAYLOAD","400",""
"twelvelabs.marengo-embed-3-0-v1:0","ACCESS_DENIED","403",""
"writer.palmyra-x4-v1:0","BAD_PAYLOAD","400",""
"anthropic.claude-sonnet-4-5-20250929-v1:0","BAD_PAYLOAD","400",""
"twelvelabs.marengo-embed-2-7-v1:0","BAD_PAYLOAD","400",""
"qwen.qwen3-vl-235b-a22b","THROTTLED","429",""
"zai.glm-4.7","THROTTLED","429",""
"writer.palmyra-vision-7b","THROTTLED","429",""
"stability.stable-outpaint-v1:0","BAD_PAYLOAD","400",""
"stability.stable-image-inpaint-v1:0","BAD_PAYLOAD","400",""
"anthropic.claude-opus-4-1-20250805-v1:0","BAD_PAYLOAD","400",""
"stability.stable-image-style-guide-v1:0","BAD_PAYLOAD","400",""
"mistral.magistral-small-2509","THROTTLED","429",""
"stability.stable-style-transfer-v1:0","BAD_PAYLOAD","400",""
"cohere.embed-v4:0","ACCESS_DENIED","403",""
"mistral.ministral-3-3b-instruct","THROTTLED","429",""
"anthropic.claude-opus-4-5-20251101-v1:0","BAD_PAYLOAD","400",""
"stability.stable-image-search-replace-v1:0","BAD_PAYLOAD","400",""
"qwen.qwen3-coder-30b-a3b-v1:0","THROTTLED","429",""
"openai.gpt-oss-safeguard-20b","THROTTLED","429",""
"amazon.titan-image-generator-v2:0","THROTTLED","429",""
"amazon.nova-premier-v1:0:8k","BAD_PAYLOAD","400",""
"amazon.nova-premier-v1:0:20k","BAD_PAYLOAD","400",""
"amazon.nova-premier-v1:0:1000k","BAD_PAYLOAD","400",""
"amazon.nova-premier-v1:0:mm","BAD_PAYLOAD","400",""
"amazon.nova-premier-v1:0","BAD_PAYLOAD","400",""
"amazon.nova-lite-v1:0:24k","NOT_FOUND","404",""
"amazon.nova-lite-v1:0:300k","NOT_FOUND","404",""
"amazon.nova-lite-v1:0","THROTTLED","429",""
"amazon.nova-canvas-v1:0","THROTTLED","429",""
"amazon.nova-reel-v1:0","BAD_PAYLOAD","400",""
"amazon.nova-reel-v1:1","BAD_PAYLOAD","400",""
"amazon.nova-micro-v1:0:24k","NOT_FOUND","404",""
"amazon.nova-micro-v1:0:128k","NOT_FOUND","404",""
"amazon.nova-micro-v1:0","THROTTLED","429",""
"amazon.nova-sonic-v1:0","BAD_PAYLOAD","400",""
"amazon.titan-embed-g1-text-02","THROTTLED","429",""
"amazon.titan-embed-text-v1:2:8k","NOT_FOUND","404",""
"amazon.titan-embed-text-v1","THROTTLED","429",""
"amazon.titan-embed-text-v2:0:8k","NOT_FOUND","404",""
"amazon.titan-embed-text-v2:0","THROTTLED","429",""
"amazon.titan-embed-image-v1:0","BAD_PAYLOAD","400",""
"amazon.titan-embed-image-v1","THROTTLED","429",""
"ai21.jamba-1-5-large-v1:0","ACCESS_DENIED","403",""
"ai21.jamba-1-5-mini-v1:0","ACCESS_DENIED","403",""
"anthropic.claude-3-sonnet-20240229-v1:0:28k","NOT_FOUND","404",""
"anthropic.claude-3-sonnet-20240229-v1:0:200k","NOT_FOUND","404",""
"anthropic.claude-3-sonnet-20240229-v1:0","ACCESS_DENIED","403",""
"anthropic.claude-3-haiku-20240307-v1:0:48k","NOT_FOUND","404",""
"anthropic.claude-3-haiku-20240307-v1:0:200k","NOT_FOUND","404",""
"anthropic.claude-3-haiku-20240307-v1:0","ACCESS_DENIED","403",""
"anthropic.claude-3-5-haiku-20241022-v1:0","BAD_PAYLOAD","400",""
"anthropic.claude-opus-4-20250514-v1:0","BAD_PAYLOAD","400",""
"cohere.command-r-v1:0","ACCESS_DENIED","403",""
"cohere.command-r-plus-v1:0","ACCESS_DENIED","403",""
"cohere.embed-english-v3:0:512","NOT_FOUND","404",""
"cohere.embed-english-v3","ACCESS_DENIED","403",""
"cohere.embed-multilingual-v3:0:512","NOT_FOUND","404",""
"cohere.embed-multilingual-v3","ACCESS_DENIED","403",""
"cohere.rerank-v3-5:0","ACCESS_DENIED","403",""
"deepseek.r1-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-8b-instruct-v1:0","THROTTLED","429",""
"meta.llama3-70b-instruct-v1:0","THROTTLED","429",""
"meta.llama3-1-8b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-1-70b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-2-11b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-2-90b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-2-1b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-2-3b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama3-3-70b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama4-scout-17b-instruct-v1:0","BAD_PAYLOAD","400",""
"meta.llama4-maverick-17b-instruct-v1:0","BAD_PAYLOAD","400",""
"mistral.mistral-7b-instruct-v0:2","THROTTLED","429",""
"mistral.mixtral-8x7b-instruct-v0:1","THROTTLED","429",""
"mistral.mistral-large-2402-v1:0","THROTTLED","429",""
"mistral.mistral-small-2402-v1:0","THROTTLED","429",""
"mistral.pixtral-large-2502-v1:0","BAD_PAYLOAD","400",""
